PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,Handed,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
72. Johnny Boychuk,,NMC,UFA,34,D,Right,,66,6,17,23,11,20:43,-,-,-,-,-,,"$7,000,000","$6,000,000"
73. Cory Schneider,,NTC,UFA,32,G,Left,,60,-,-,-,-,-,20,27,2,2.82,.908,,"$6,000,000","$6,000,000"
74. Ben Bishop,,"M-NTC, NMC",UFA,31,G,Left,,39,-,-,-,-,-,18,15,1,2.54,.910,,"$5,950,000","$5,950,000"
75. Kari Lehtonen,,M-NTC,UFA,34,G,Left,,59,-,-,-,-,-,22,25,3,2.85,.902,,"$6,000,000","$5,900,000"
76. Patrick Sharp,,"M-NTC, NMC",UFA,36,"LW, C",Right,,48,8,10,18,-22,15:56,-,-,-,-,-,,"$5,000,000","$5,900,000"
77. Aleksander Barkov,,,UFA,22,C,Left,,61,21,31,52,13,19:24,-,-,-,-,-,,"$4,500,000","$5,900,000"
78. Semyon Varlamov,,,UFA,29,G,Left,,24,-,-,-,-,-,6,17,1,3.38,.898,,"$6,000,000","$5,900,000"
79. Dustin Brown,,M-NTC,UFA,33,"RW, LW",Right,,80,14,22,36,-4,16:00,-,-,-,-,-,,"$7,000,000","$5,875,000"
80. Brandon Dubinsky,,NMC,UFA,31,"C, LW",Left,,80,12,29,41,16,17:53,-,-,-,-,-,,"$5,850,000","$5,850,000"
81. Ryan Callahan,,NMC,UFA,33,RW,Right,,18,2,2,4,-4,14:08,-,-,-,-,-,,"$6,500,000","$5,800,000"
82. Jonathan Quick,,,UFA,32,G,Left,,17,-,-,-,-,-,8,5,2,2.26,.917,,"$7,000,000","$5,800,000"
83. Alexander Steen,,NTC,UFA,34,"LW, C",Left,,76,16,35,51,-2,19:18,-,-,-,-,-,,"$6,500,000","$5,800,000"
84. Brent Burns,,M-NTC,UFA,33,"D, RW",Right,,82,29,47,76,19,24:51,-,-,-,-,-,,"$5,760,000","$5,760,000"
85. Toby Enström,,NMC,UFA,33,D,Left,,60,1,13,14,-7,21:54,-,-,-,-,-,,"$5,750,000","$5,750,000"
86. Marc-André Fleury,,"M-NTC, NMC",UFA,33,G,Left,,38,-,-,-,-,-,18,10,1,3.02,.909,,"$5,750,000","$5,750,000"
87. Tyler Seguin,,,UFA,26,"C, RW",Right,,82,26,46,72,-15,18:27,-,-,-,-,-,,"$6,000,000","$5,750,000"
88. Matt Niskanen,,M-NTC,UFA,31,D,Right,,78,5,34,39,20,22:10,-,-,-,-,-,,"$5,750,000","$5,750,000"
89. Dougie Hamilton,,,UFA,24,D,Right,,81,13,37,50,12,19:41,-,-,-,-,-,,"$5,500,000","$5,750,000"
90. Travis Zajac,,NTC,UFA,32,C,Right,,80,14,31,45,-8,19:43,-,-,-,-,-,,"$6,500,000","$5,750,000"
91. Alexander Radulov,,,UFA,31,RW,Left,,76,18,36,54,10,18:17,-,-,-,-,-,,"$5,750,000","$5,750,000"
92. Jeff Skinner,,,UFA,25,"LW, RW",Left,,79,37,26,63,-3,17:44,-,-,-,-,-,,"$6,000,000","$5,725,000"
93. Hampus Lindholm,,,UFA,24,D,Left,,66,6,14,20,13,22:26,-,-,-,-,-,,"$3,000,000","$5,713,415"
94. Marc Staal,,NMC,UFA,31,D,Left,,72,3,7,10,9,19:10,-,-,-,-,-,,"$6,000,000","$5,700,000"
95. Mike Smith,,M-NTC,UFA,36,G,Right,,55,-,-,-,-,-,19,26,3,2.92,.914,,"$6,500,000","$5,666,667"
96. Blake Wheeler,,M-NTC,UFA,31,RW,Right,,82,26,48,74,6,20:08,-,-,-,-,-,,"$5,800,000","$5,600,000"
97. Jason Pominville,,"M-NTC, NMC",UFA,35,RW,Right,,78,13,34,47,2,14:13,-,-,-,-,-,,"$6,250,000","$5,600,000"
98. Gabriel Landeskog,,,UFA,25,LW,Left,,72,18,15,33,-25,18:46,-,-,-,-,-,,"$5,500,000","$5,571,429"
99. Duncan Keith,,NMC,UFA,34,D,Left,,80,6,47,53,22,25:37,-,-,-,-,-,,"$6,000,000","$5,538,462"
100. Andrej Sekera,,NMC,UFA,31,D,Left,,80,8,27,35,14,21:28,-,-,-,-,-,,"$6,500,000","$5,500,000"
101. Jeff Petry,,NMC,UFA,30,D,Right,,80,8,20,28,3,22:06,-,-,-,-,-,,"$7,000,000","$5,500,000"
102. Andrew Ladd,,NMC,UFA,32,LW,Left,,78,23,8,31,-14,16:10,-,-,-,-,-,,"$8,000,000","$5,500,000"
103. Tyler Myers,,,UFA,28,D,Right,,11,2,3,5,5,22:12,-,-,-,-,-,,"$4,000,000","$5,500,000"
104. Dan Girardi,,NMC,UFA,33,D,Right,,63,4,11,15,8,19:06,-,-,-,-,-,,"$6,000,000","$5,500,000"
105. Nick Foligno,,NMC,UFA,30,"LW, RW",Left,,79,26,25,51,-4,18:25,-,-,-,-,-,,"$5,500,000","$5,500,000"
106. Brooks Orpik,,,UFA,37,D,Left,,79,0,14,14,32,17:47,-,-,-,-,-,,"$5,500,000","$5,500,000"
107. Dave Bolland,,M-NTC,UFA,31,C,Right,,0,0,0,0,0,,-,-,-,-,-,,"$5,500,000","$5,500,000"
108. Oliver Ekman-Larsson,,,UFA,26,D,Left,,79,12,27,39,-25,24:36,-,-,-,-,-,,"$6,000,000","$5,500,000"
109. Tyson Barrie,,,UFA,26,D,Right,,74,7,31,38,-34,23:18,-,-,-,-,-,,"$5,000,000","$5,500,000"
110. John Tavares,,"M-NTC, NMC",UFA,27,C,Left,,77,28,38,66,4,20:25,-,-,-,-,-,,"$6,000,000","$5,500,000"
111. Nick Leddy,,,UFA,27,D,Left,,81,11,35,46,-3,22:43,-,-,-,-,-,,"$4,500,000","$5,500,000"
112. Alex Goligoski,,NMC,UFA,32,D,Left,,82,6,30,36,-9,23:19,-,-,-,-,-,,"$5,375,000","$5,475,000"
113. Jay Bouwmeester,,NTC,UFA,34,D,Left,,81,1,14,15,6,22:24,-,-,-,-,-,,"$5,600,000","$5,400,000"
114. Seth Jones,,,UFA,23,D,Right,,75,12,30,42,6,23:24,-,-,-,-,-,,"$5,400,000","$5,400,000"
115. Rasmus Ristolainen,,,UFA,23,D,Right,,79,6,39,45,-9,26:28,-,-,-,-,-,,"$5,400,000","$5,400,000"
116. Jaden Schwartz,,,UFA,25,LW,Left,,78,19,36,55,14,18:54,-,-,-,-,-,,"$5,250,000","$5,350,000"
117. Roberto Luongo,,M-NTC,UFA,38,G,Left,,40,-,-,-,-,-,17,15,1,2.68,.915,,"$6,714,000","$5,333,333"
118. Jarome Iginla,,NMC,UFA,40,RW,Right,,80,14,13,27,-30,14:44,-,-,-,-,-,,"$5,000,000","$5,333,333"
119. Nathan Horton,,NMC,UFA,32,RW,Right,,0,0,0,0,0,,-,-,-,-,-,,"$6,000,000","$5,300,000"
