PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,Handed,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
395. Tanner Glass,,,UFA,34,LW,Left,,11,1,1,2,0,10:54,-,-,-,-,-,,"$1,000,000","$1,450,000"
396. Reto Berra,,,UFA,31,G,Left,,7,-,-,-,-,-,0,5,0,3.45,.876,,"$1,500,000","$1,450,000"
397. Brandon Davidson,,,RFA,26,D,Left,,38,0,3,3,-2,15:23,-,-,-,-,-,,"$1,300,000","$1,425,000"
398. Justin Schultz,,,UFA,27,D,Right,,78,12,39,51,27,20:26,-,-,-,-,-,,"$1,400,000","$1,400,000"
399. Tanner Pearson,,,UFA,25,LW,Left,,80,24,20,44,5,16:19,-,-,-,-,-,,"$1,550,000","$1,400,000"
400. Andrew Hammond,,,UFA,30,G,Left,,6,-,-,-,-,-,0,2,0,4.08,.837,,"$1,350,000","$1,350,000"
401. Cody McLeod,,,UFA,33,"LW, RW",Left,,59,5,1,6,-3,05:52,-,-,-,-,-,,"$1,250,000","$1,333,333"
402. Devante Smith-Pelly,,,RFA,25,"RW, LW",Right,,53,4,5,9,-19,13:30,-,-,-,-,-,,"$1,250,000","$1,300,000"
403. Peter Holland,,,UFA,27,C,Left,,48,5,7,12,-16,13:09,-,-,-,-,-,,"$1,300,000","$1,300,000"
404. Derek MacKenzie,,,UFA,36,"C, LW",Left,,82,6,10,16,-7,12:33,-,-,-,-,-,,"$1,300,000","$1,300,000"
405. Joakim Nordström,,,RFA,26,LW,Left,,82,7,5,12,-12,12:43,-,-,-,-,-,,"$1,250,000","$1,275,000"
406. Erik Condra,,,UFA,31,RW,Right,,13,0,0,0,-4,09:38,-,-,-,-,-,,"$1,250,000","$1,250,000"
407. J.T. Brown,,,UFA,27,RW,Right,,64,3,3,6,-7,10:22,-,-,-,-,-,,"$1,250,000","$1,250,000"
408. Martin Marincin,,,RFA,26,D,Left,,25,1,6,7,3,18:02,-,-,-,-,-,,"$1,200,000","$1,250,000"
409. Brandon Bollig,,,UFA,31,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$1,300,000","$1,250,000"
410. Luke Schenn,,,UFA,28,D,Right,,78,1,7,8,-9,18:02,-,-,-,-,-,,"$1,000,000","$1,250,000"
411. Kyle Quincey,,,UFA,32,D,Left,,73,6,9,15,4,15:55,-,-,-,-,-,,"$1,250,000","$1,250,000"
412. Torrey Mitchell,,,UFA,33,"C, RW",Right,,78,8,9,17,5,12:36,-,-,-,-,-,,"$1,300,000","$1,200,000"
413. Chris Thorburn,,,UFA,34,"RW, LW",Right,,64,3,1,4,-7,06:58,-,-,-,-,-,,"$1,200,000","$1,200,000"
414. Anton Khudobin,,,UFA,31,G,Left,,16,-,-,-,-,-,7,6,0,2.64,.904,,"$1,200,000","$1,200,000"
415. Matt Hunwick,,,UFA,32,D,Left,,72,1,18,19,8,17:58,-,-,-,-,-,,"$1,200,000","$1,200,000"
416. Paul Byron,,,UFA,28,"LW, RW",Left,,81,22,21,43,21,15:04,-,-,-,-,-,,"$1,300,000","$1,166,667"
417. Chris Stewart,,,UFA,30,"RW, LW",Right,,79,13,8,21,3,10:23,-,-,-,-,-,,"$1,200,000","$1,150,000"
418. Michael Hutchinson,,,UFA,28,G,Right,,28,-,-,-,-,-,9,12,1,2.92,.903,,"$1,000,000","$1,150,000"
419. Zemgus Girgensons,,,RFA,24,"C, LW",Left,,75,7,9,16,-7,13:09,-,-,-,-,-,,"$1,150,000","$1,150,000"
420. Jon Merrill,,,UFA,26,D,Left,,51,1,5,6,-9,18:33,-,-,-,-,-,,"$1,000,000","$1,137,500"
421. Adam Lowry,,,RFA,25,"LW, C",Left,,82,15,14,29,1,16:02,-,-,-,-,-,,"$1,000,000","$1,125,000"
422. Ryan Reaves,,,UFA,31,RW,Right,,80,7,6,13,4,08:53,-,-,-,-,-,,"$1,125,000","$1,125,000"
423. Carter Hutton,,,UFA,32,G,Left,,30,-,-,-,-,-,13,8,4,2.39,.913,,"$1,250,000","$1,125,000"
424. Mark Pysyk,,,UFA,26,D,Right,,82,4,13,17,0,18:33,-,-,-,-,-,,"$1,250,000","$1,125,000"
425. Mark Borowiecki,,,UFA,28,D,Left,,70,1,2,3,-3,14:00,-,-,-,-,-,,"$1,100,000","$1,100,000"
426. Jordie Benn,,,UFA,30,D,Left,,71,4,13,17,-4,18:36,-,-,-,-,-,,"$1,100,000","$1,100,000"
427. Brandon Pirri,,,UFA,26,"C, LW, RW",Left,,60,8,10,18,-8,12:16,-,-,-,-,-,,"$1,100,000","$1,100,000"
428. Jacob Josefson,,,UFA,27,"C, LW",Left,,38,1,9,10,-1,12:14,-,-,-,-,-,,"$1,100,000","$1,100,000"
429. Robert Bortuzzo,,,UFA,29,D,Right,,38,1,3,4,11,14:05,-,-,-,-,-,,"$1,050,000","$1,050,000"
430. Alex Petrovic,,,RFA,26,D,Right,,49,1,13,14,-1,18:09,-,-,-,-,-,,"$1,200,000","$1,050,000"
431. Joel Edmundson,,,RFA,24,D,Left,,69,3,12,15,11,17:46,-,-,-,-,-,,"$900,000","$1,050,000"
432. Louis Domingue,,,RFA,26,G,Right,,31,-,-,-,-,-,11,15,0,3.08,.908,,"$1,000,000","$1,050,000"
433. Drew Miller,,,UFA,34,"LW, RW",Left,,55,5,2,7,-12,10:16,-,-,-,-,-,,"$1,025,000","$1,025,000"
434. William Karlsson,,,RFA,25,C,Left,,81,6,19,25,10,13:23,-,-,-,-,-,,"$1,000,000","$1,000,000"
435. Patrick Eaves,,,UFA,33,"RW, LW",Right,,79,32,19,51,-2,15:42,-,-,-,-,-,,"$1,000,000","$1,000,000"
436. Colin Miller,,,RFA,25,D,Right,,61,6,7,13,0,15:48,-,-,-,-,-,,"$900,000","$1,000,000"
437. Kevin Connauton,,,UFA,28,D,Left,,24,0,1,1,-1,13:07,-,-,-,-,-,,"$950,000","$1,000,000"
438. Antti Raanta,,,UFA,28,G,Left,,30,-,-,-,-,-,16,8,4,2.26,.922,,"$1,000,000","$1,000,000"
439. Dmitrij Jaskin,,,RFA,25,"RW, LW",Left,,51,1,10,11,5,11:33,-,-,-,-,-,,"$1,000,000","$1,000,000"
440. Radim Vrbata,,,UFA,36,RW,Right,,81,20,35,55,-18,16:53,-,-,-,-,-,,"$1,000,000","$1,000,000"
441. Lauri Korpikoski,,,UFA,31,"LW, RW",Left,,69,8,12,20,5,08:14,-,-,-,-,-,,"$1,000,000","$1,000,000"
442. Ryan White,,,UFA,30,C,Right,,65,9,7,16,-16,10:57,-,-,-,-,-,,"$1,000,000","$1,000,000"
443. Matt Cullen,,,UFA,41,"C, LW",Left,,72,13,18,31,4,13:55,-,-,-,-,-,,"$1,000,000","$1,000,000"
444. Nathan Beaulieu,,,RFA,25,D,Left,,74,4,24,28,8,19:28,-,-,-,-,-,,"$1,000,000","$1,000,000"
445. Dennis Seidenberg,,,UFA,36,D,Left,,73,5,17,22,25,19:25,-,-,-,-,-,,"$1,000,000","$1,000,000"
446. Erik Haula,,,UFA,27,"C, LW",Left,,72,15,11,26,5,13:48,-,-,-,-,-,,"$1,050,000","$1,000,000"
447. Calvin Pickard,,,RFA,25,G,Left,,50,-,-,-,-,-,15,31,2,2.98,.904,,"$925,000","$1,000,000"
448. Anders Nilsson,,,UFA,28,G,Left,,26,-,-,-,-,-,10,10,1,2.67,.923,,"$1,000,000","$1,000,000"
449. Brandon Manning,,,UFA,27,D,Left,,65,3,9,12,-12,18:03,-,-,-,-,-,,"$950,000","$975,000"
450. Eric Gryba,,,UFA,29,D,Right,,40,2,4,6,-5,16:08,-,-,-,-,-,,"$950,000","$950,000"
451. Brian Flynn,,,UFA,29,RW,Right,,51,6,4,10,2,12:03,-,-,-,-,-,,"$950,000","$950,000"
452. Colton Sceviour,,,UFA,28,"C, RW",Right,,80,9,15,24,-16,14:38,-,-,-,-,-,,"$950,000","$950,000"
453. Boyd Gordon,,,UFA,34,C,Right,,13,1,0,1,-5,08:10,-,-,-,-,-,,"$950,000","$950,000"
454. Jesper Fast,,,UFA,26,RW,Right,,68,6,15,21,6,13:47,-,-,-,-,-,,"$1,000,000","$950,000"
455. Jordan Nolan,,,UFA,28,"C, LW, RW",Left,,46,4,4,8,-3,10:51,-,-,-,-,-,,"$1,000,000","$950,000"
456. Kris Versteeg,,M-NTC,UFA,31,"LW, RW",Right,,69,15,22,37,-3,14:43,-,-,-,-,-,,"$950,000","$950,000"
457. Al Montoya,,,UFA,33,G,Left,,19,-,-,-,-,-,8,6,2,2.67,.912,,"$950,000","$950,000"
458. Ryan Spooner,,,RFA,26,"C, LW",Left,,78,11,28,39,-8,14:05,-,-,-,-,-,,"$1,100,000","$950,000"
459. Johan Larsson,,,RFA,25,"C, LW",Left,,36,6,5,11,-7,16:51,-,-,-,-,-,,"$950,000","$950,000"
460. Kyle Brodziak,,,UFA,33,C,Right,,69,8,7,15,2,11:12,-,-,-,-,-,,"$1,000,000","$950,000"
461. Andrei Vasilevskiy,,,RFA,23,G,Left,,50,-,-,-,-,-,23,17,2,2.61,.917,,"$925,000","$925,000"
462. Leon Draisaitl,,,UFA,22,C,Left,,82,29,48,77,7,18:53,-,-,-,-,-,,"$925,000","$925,000"
463. Joel Armia,,,RFA,24,RW,Right,,57,10,9,19,-8,15:08,-,-,-,-,-,,"$875,000","$925,000"
464. Sam Bennett,,,RFA,21,"C, LW",Left,,81,13,13,26,-16,14:59,-,-,-,-,-,,"$925,000","$925,000"
465. Nicolas Kerdiles,,,RFA,24,LW,Left,,1,0,0,0,1,11:08,-,-,-,-,-,,"$925,000","$925,000"
466. Marko Dano,,,RFA,23,"C, LW, RW",Left,,38,4,7,11,0,10:41,-,-,-,-,-,,"$925,000","$925,000"
467. Alexander Wennberg,,,UFA,23,C,Left,,80,13,46,59,9,18:22,-,-,-,-,-,,"$925,000","$925,000"
468. Ville Pokka,,,RFA,23,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
469. Aaron Ekblad,,,UFA,22,D,Right,,68,10,11,21,-23,21:27,-,-,-,-,-,,"$925,000","$925,000"
470. Rocco Grimaldi,,,UFA,25,"C, RW",Right,,4,0,1,1,-3,11:00,-,-,-,-,-,,"$925,000","$925,000"
471. Michael Matheson,,,UFA,24,D,Left,,81,7,10,17,-5,21:03,-,-,-,-,-,,"$925,000","$925,000"
472. Jacob De La Rose,,,RFA,22,"C, LW",Left,,9,0,0,0,-3,10:54,-,-,-,-,-,,"$925,000","$925,000"
473. Matt O'Connor,,,UFA,26,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$925,000","$925,000"
474. David Pastrnak,,,UFA,21,RW,Right,,75,34,36,70,11,17:58,-,-,-,-,-,,"$925,000","$925,000"
475. Shayne Gostisbehere,,,UFA,24,D,Left,,76,7,32,39,-21,19:35,-,-,-,-,-,,"$925,000","$925,000"
476. Brady Skjei,,,RFA,24,D,Left,,80,5,34,39,11,17:27,-,-,-,-,-,,"$925,000","$925,000"
477. Andrew Copp,,,RFA,23,C,Left,,64,9,8,17,8,12:20,-,-,-,-,-,,"$925,000","$925,000"
478. Brandon Montour,,,RFA,23,D,Right,,27,2,4,6,11,17:22,-,-,-,-,-,,"$925,000","$925,000"
479. Jon Gillies,,,RFA,24,G,Left,,1,-,-,-,-,-,1,0,0,1.00,.964,,"$925,000","$925,000"
480. Joonas Donskoi,,,UFA,25,RW,Right,,61,6,11,17,-5,13:48,-,-,-,-,-,,"$925,000","$925,000"
481. Dylan Larkin,,,RFA,21,"C, LW",Left,,80,17,15,32,-28,16:09,-,-,-,-,-,,"$925,000","$925,000"
482. Anton Slepyshev,,,RFA,23,"LW, RW",Right,,41,4,6,10,5,11:06,-,-,-,-,-,,"$925,000","$925,000"
483. Jordan Schmaltz,,,RFA,24,D,Right,,9,0,2,2,0,14:20,-,-,-,-,-,,"$925,000","$925,000"
484. Zane McIntyre,,,RFA,25,G,Left,,8,-,-,-,-,-,0,4,0,3.96,.858,,"$925,000","$925,000"
485. Mike Reilly,,,RFA,24,D,Left,,17,1,0,1,1,12:22,-,-,-,-,-,,"$925,000","$925,000"
486. Jack Eichel,,,UFA,21,C,Right,,61,24,33,57,-13,19:55,-,-,-,-,-,,"$925,000","$925,000"
487. Connor McDavid,,,UFA,21,C,Left,,82,30,70,100,27,21:07,-,-,-,-,-,,"$925,000","$925,000"
488. Noah Hanifin,,,RFA,21,D,Left,,81,4,25,29,-19,17:55,-,-,-,-,-,,"$925,000","$925,000"
489. Jayce Hawryluk,,,RFA,22,C,Right,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
490. Hudson Fasching,,,RFA,22,RW,Right,,10,0,1,1,-1,10:24,-,-,-,-,-,,"$925,000","$925,000"
491. Eamon McAdam,,,RFA,23,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$925,000","$925,000"
492. Kasimir Kaskisuo,,,RFA,24,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$925,000","$925,000"
493. Zachary Werenski,,,RFA,20,D,Left,,78,11,36,47,17,20:54,-,-,-,-,-,,"$925,000","$925,000"
494. Rob O'Gara,,,RFA,24,D,Left,,3,0,0,0,1,16:00,-,-,-,-,-,,"$925,000","$925,000"
495. Kalle Kossila,,,RFA,24,C,Left,,1,0,0,0,0,06:54,-,-,-,-,-,,"$925,000","$925,000"
496. Charlie Lindgren,,,UFA,24,G,Right,,2,-,-,-,-,-,2,0,0,1.48,.949,,"$925,000","$925,000"
497. Mark Jankowski,,,RFA,23,C,Left,,1,0,0,0,0,10:18,-,-,-,-,-,,"$925,000","$925,000"
498. Mackenzie MacEachern,,,RFA,24,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
499. Kevin Boyle,,,RFA,25,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$925,000","$925,000"
500. Andy Welinski,,,RFA,24,D,Right,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
501. Alex Lyon,,,RFA,25,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$925,000","$925,000"
502. Tyler Motte,,,RFA,23,"LW, C",Left,,33,4,3,7,2,11:23,-,-,-,-,-,,"$925,000","$925,000"
503. Nick Ellis,,,RFA,24,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$925,000","$925,000"
504. Steven Santini,,,RFA,23,D,Right,,38,2,5,7,-6,16:05,-,-,-,-,-,,"$925,000","$925,000"
505. Miles Wood,,,RFA,22,LW,Left,,60,8,9,17,-21,12:51,-,-,-,-,-,,"$925,000","$925,000"
506. Kevin Roy,,,RFA,24,"C, LW",Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
507. Kyle Connor,,,RFA,21,LW,Left,,20,2,3,5,-7,12:13,-,-,-,-,-,,"$925,000","$925,000"
508. Alex Tuch,,,RFA,21,RW,Right,,6,0,0,0,-3,10:42,-,-,-,-,-,,"$925,000","$925,000"
509. Troy Stecher,,,RFA,23,D,Right,,71,3,21,24,-16,19:58,-,-,-,-,-,,"$925,000","$925,000"
510. Devon Toews,,,RFA,24,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
511. Gabriel Carlsson,,,RFA,21,D,Left,,2,0,1,1,-2,17:07,-,-,-,-,-,,$0,"$925,000"
512. Thatcher Demko,,,RFA,22,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$925,000","$925,000"
513. J.T. Compher,,,RFA,22,C,Right,,21,3,2,5,0,14:55,-,-,-,-,-,,"$925,000","$925,000"
514. Paul LaDue,,,RFA,25,D,Right,,22,0,8,8,-5,15:24,-,-,-,-,-,,"$925,000","$925,000"
515. Daniel Pribyl,,,RFA,25,"C, RW",Right,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
516. Nikita Zaitsev,,,UFA,26,D,Right,,82,4,32,36,-22,22:01,-,-,-,-,-,,"$925,000","$925,000"
517. Drake Caggiula,,,RFA,23,"LW, C, RW",Left,,60,7,11,18,3,13:14,-,-,-,-,-,,"$925,000","$925,000"
518. Patrick Russell,,,RFA,25,RW,Right,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
519. Denis Gurianov,,,RFA,20,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
520. Pavel Buchnevich,,,RFA,22,"LW, RW",Left,,41,8,12,20,6,13:15,-,-,-,-,-,,"$925,000","$925,000"
521. Marcus Sörensen,,,UFA,25,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
522. Jacob Larsson,,,RFA,20,D,Left,,4,0,0,0,-1,16:25,-,-,-,-,-,,$0,"$925,000"
523. Sebastian Aho,,,RFA,20,LW,Left,,82,24,25,49,-1,16:47,-,-,-,-,-,,"$925,000","$925,000"
524. David Rittich,,,RFA,25,G,Left,,0,-,-,-,-,-,0,0,0,0.00,.000,,"$925,000","$925,000"
525. Ian McCoshen,,,RFA,22,D,Left,,3,0,1,1,0,13:15,-,-,-,-,-,,"$925,000","$925,000"
526. Nick Schmaltz,,,RFA,22,C,Right,,61,6,22,28,10,13:15,-,-,-,-,-,,"$925,000","$925,000"
527. Pierre-Luc Dubois,,,RFA,19,"LW, C",Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
528. Mikhail Sergachev,,,RFA,19,D,Left,,4,0,0,0,1,12:07,-,-,-,-,-,,$0,"$925,000"
529. Patrik Laine,,,RFA,19,RW,Right,,73,36,28,64,7,17:54,-,-,-,-,-,,"$925,000","$925,000"
530. Matthew Tkachuk,,,RFA,20,LW,Left,,76,13,35,48,14,14:39,-,-,-,-,-,,"$925,000","$925,000"
531. Jake Bean,,,RFA,19,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
532. Julien Gauthier,,,RFA,20,RW,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
533. Jesse Puljujärvi,,,RFA,19,RW,Right,,28,1,7,8,5,11:15,-,-,-,-,-,,"$925,000","$925,000"
534. Alexander Nylander,,,RFA,20,"RW, LW",Right,,4,0,1,1,-2,12:19,-,-,-,-,-,,$0,"$925,000"
535. Jack Roslovic,,,RFA,21,C,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
536. Auston Matthews,,,RFA,20,C,Left,,82,40,29,69,2,17:37,-,-,-,-,-,,"$925,000","$925,000"
537. Trevor Moore,,,RFA,23,"LW, C",Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
538. Jakob Chychrun,,,RFA,20,D,Left,,68,7,13,20,-14,16:40,-,-,-,-,-,,"$925,000","$925,000"
539. Olli Juolevi,,,RFA,19,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
540. Logan Brown,,,RFA,20,C,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
541. Jimmy Vesey,,,RFA,24,LW,Left,,80,16,11,27,-13,13:38,-,-,-,-,-,,"$925,000","$925,000"
542. Max Jones,,,RFA,20,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
543. Matthew Benning,,,RFA,23,D,Right,,62,3,12,15,8,16:36,-,-,-,-,-,,"$925,000","$925,000"
544. Michael Mcleod,,,RFA,20,C,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
545. Logan Stanley,,,RFA,19,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
546. Sam Steel,,,RFA,20,C,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
547. Brett Howden,,,RFA,20,C,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$925,000"
548. John Hayden,,,RFA,23,"C, RW",Right,,12,1,3,4,3,11:41,-,-,-,-,-,,"$925,000","$925,000"
549. Brock Boeser,,,RFA,21,RW,Right,,9,4,1,5,0,16:12,-,-,-,-,-,,"$925,000","$925,000"
550. Michael Kapla,,,RFA,23,D,Left,,5,0,0,0,-1,17:26,-,-,-,-,-,,"$925,000","$925,000"
551. Griffen Molino,,,RFA,24,C,Left,,5,0,0,0,-2,10:35,-,-,-,-,-,,"$925,000","$925,000"
552. C.J. Smith,,,RFA,23,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,"$925,000","$925,000"
553. Michael Vecchione,,,RFA,25,C,Right,,2,0,0,0,-1,08:30,-,-,-,-,-,,"$925,000","$925,000"
554. Colin White,,,RFA,21,C,Right,,2,0,0,0,0,13:42,-,-,-,-,-,,"$925,000","$925,000"
555. Jamie Oleksiak,,,RFA,25,D,Left,,41,5,2,7,-4,16:12,-,-,-,-,-,,"$918,750","$918,750"
556. Clayton Keller,,,RFA,19,"C, LW",Left,,3,0,2,2,-3,12:40,-,-,-,-,-,,$0,"$916,667"
557. Tyson Jost,,,RFA,20,"C, LW, RW",Left,,6,1,0,1,-5,15:40,-,-,-,-,-,,$0,"$916,667"
558. Jakob Forsbacka Karlsson,,,RFA,21,C,Right,,1,0,0,0,0,08:25,-,-,-,-,-,,"$900,000","$916,667"
559. Charlie McAvoy,,,RFA,20,D,Right,,0,0,0,0,0,00:00,-,-,-,-,-,,"$900,000","$916,667"
560. Phillip Danault,,,RFA,25,C,Left,,82,13,27,40,5,15:34,-,-,-,-,-,,"$875,000","$912,500"
561. Jean-Gabriel Pageau,,,UFA,25,C,Right,,82,12,21,33,13,16:07,-,-,-,-,-,,"$1,100,000","$900,000"
562. Matt Puempel,,,RFA,25,LW,Left,,40,6,3,9,-11,10:09,-,-,-,-,-,,"$900,000","$900,000"
563. Patrik Nemeth,,,RFA,26,D,Left,,40,0,3,3,-4,15:46,-,-,-,-,-,,"$900,000","$900,000"
564. Jeff Zatkoff,,,UFA,30,G,Left,,13,-,-,-,-,-,2,7,0,2.95,.879,,"$900,000","$900,000"
565. Dominic Moore,,,UFA,37,"C, LW",Left,,82,11,14,25,2,12:56,-,-,-,-,-,,"$900,000","$900,000"
566. Jared Boll,,,UFA,31,RW,Right,,51,0,3,3,-3,05:48,-,-,-,-,-,,"$900,000","$900,000"
567. Scottie Upshall,,,UFA,34,LW,Left,,73,10,8,18,-1,10:59,-,-,-,-,-,,"$900,000","$900,000"
568. Riley Nash,,,UFA,28,"C, RW",Right,,81,7,10,17,-1,13:48,-,-,-,-,-,,"$900,000","$900,000"
569. Chris Kelly,,,UFA,37,"C, LW",Left,,82,5,7,12,-17,11:56,-,-,-,-,-,,"$900,000","$900,000"
570. Tomas Jurco,,,RFA,25,"RW, LW",Left,,29,1,0,1,-12,11:22,-,-,-,-,-,,"$950,000","$900,000"
571. Markus Granlund,,,RFA,24,"RW, LW, C",Left,,69,19,13,32,-19,17:18,-,-,-,-,-,,"$850,000","$900,000"
572. Zach Hyman,,,UFA,25,LW,Right,,82,10,18,28,2,16:41,-,-,-,-,-,,"$900,000","$900,000"
573. Ben Hutton,,,RFA,24,D,Left,,71,5,14,19,-22,20:29,-,-,-,-,-,,"$925,000","$896,250"
574. Curtis Lazar,,,RFA,23,"C, RW",Right,,37,1,3,4,-8,11:46,-,-,-,-,-,,"$832,500","$894,167"
575. Jonathan Drouin,,,UFA,23,"LW, C",Left,,73,21,32,53,-13,17:42,-,-,-,-,-,,"$832,500","$894,167"
576. Slater Koekkoek,,,RFA,24,D,Left,,29,0,4,4,-4,12:59,-,-,-,-,-,,"$832,500","$894,167"
577. Patrick Sieloff,,,RFA,23,D,Left,,0,0,0,0,0,,-,-,-,-,-,,"$832,500","$894,167"
578. William Nylander,,,RFA,21,"RW, C",Right,,81,22,39,61,-3,16:00,-,-,-,-,-,,"$925,000","$894,167"
579. Teuvo Teräväinen,,,RFA,23,"C, LW, RW",Left,,81,15,27,42,-6,16:14,-,-,-,-,-,,"$832,500","$894,167"
580. André Burakovsky,,,RFA,23,"LW, RW",Left,,64,12,23,35,13,13:15,-,-,-,-,-,,"$832,500","$894,167"
581. Robby Fabbri,,,RFA,22,"C, LW",Left,,51,11,18,29,-16,15:36,-,-,-,-,-,,"$925,000","$894,167"
582. Nikita Zadorov,,,RFA,22,D,Left,,56,0,10,10,-20,19:02,-,-,-,-,-,,"$832,500","$894,167"
583. Sam Reinhart,,,RFA,22,"RW, C",Right,,79,17,30,47,-11,17:13,-,-,-,-,-,,"$925,000","$894,167"
584. Robert Hägg,,,RFA,23,D,Left,,1,0,0,0,0,21:19,-,-,-,-,-,,"$925,000","$894,167"
585. Jason Dickinson,,,RFA,22,C,Left,,10,2,0,2,-3,11:47,-,-,-,-,-,,"$925,000","$894,167"
586. Nick Ritchie,,,RFA,22,LW,Left,,77,14,14,28,4,12:59,-,-,-,-,-,,"$925,000","$894,167"
587. Nikolaj Ehlers,,,UFA,22,LW,Left,,82,25,39,64,1,17:29,-,-,-,-,-,,"$925,000","$894,167"
588. Jared McCann,,,RFA,21,C,Left,,29,1,6,7,-1,11:38,-,-,-,-,-,,"$925,000","$894,167"
589. Jake Virtanen,,,RFA,21,RW,Right,,10,0,1,1,1,10:08,-,-,-,-,-,,"$925,000","$894,167"
590. Mirco Mueller,,,RFA,23,D,Left,,4,1,1,2,2,09:35,-,-,-,-,-,,"$832,500","$894,167"
591. Adrian Kempe,,,RFA,21,"C, LW",Left,,25,2,4,6,-3,12:13,-,-,-,-,-,,"$925,000","$894,167"
592. Bo Horvat,,,UFA,22,C,Left,,81,20,32,52,-7,18:01,-,-,-,-,-,,"$832,500","$894,167"
593. Ivan Provorov,,,RFA,21,D,Left,,82,6,24,30,-7,21:58,-,-,-,-,-,,"$925,000","$894,167"
594. Dylan Strome,,,RFA,21,C,Left,,7,0,1,1,-5,13:41,-,-,-,-,-,,$0,"$894,167"
595. Timo Meier,,,RFA,21,RW,Left,,34,3,3,6,1,12:28,-,-,-,-,-,,"$925,000","$894,167"
596. Noah Juulsen,,,RFA,21,D,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$894,167"
597. Mikko Rantanen,,,RFA,21,RW,Left,,75,20,19,39,-25,18:03,-,-,-,-,-,,"$925,000","$894,167"
598. Joel Eriksson Ek,,,RFA,21,C,Left,,15,3,4,7,1,10:36,-,-,-,-,-,,"$925,000","$894,167"
599. Lawson Crouse,,,RFA,20,LW,Left,,72,5,7,12,-20,11:53,-,-,-,-,-,,"$925,000","$894,167"
600. Jakub Zboril,,,RFA,21,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$894,167"
601. Travis Konecny,,,RFA,21,"LW, RW",Right,,70,11,17,28,-2,14:05,-,-,-,-,-,,"$925,000","$894,167"
602. Travis Dermott,,,RFA,21,D,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$894,167"
603. Mitchell Marner,,,RFA,20,RW,Right,,77,19,42,61,0,16:48,-,-,-,-,-,,"$925,000","$894,167"
604. Pavel Zacha,,,RFA,20,C,Left,,70,8,16,24,-17,14:18,-,-,-,-,-,,"$925,000","$894,167"
605. Nick Merkley,,,RFA,20,C,Right,,0,0,0,0,0,,-,-,-,-,-,,$0,"$894,167"
606. Mathew Barzal,,,RFA,20,C,Right,,2,0,0,0,-2,09:45,-,-,-,-,-,,$0,"$894,167"
607. Thomas Chabot,,,RFA,21,D,Left,,1,0,0,0,-2,07:09,-,-,-,-,-,,$0,"$894,167"
608. Evgeny Svechnikov,,,RFA,21,LW,Left,,2,0,0,0,0,13:08,-,-,-,-,-,,$0,"$894,167"
609. Anthony Beauvillier,,,RFA,20,LW,Left,,66,9,15,24,1,13:01,-,-,-,-,-,,"$925,000","$894,167"
610. Jake DeBrusk,,,RFA,21,LW,Left,,0,0,0,0,0,,-,-,-,-,-,,$0,"$894,167"
